2019.2.17,6030.25
1958.8.15,3907.49
1985.2.17,2793.66
2012.5.20,7066.03
1995.6.11,3699.08
1950.5.25,4798.1
1907.2.23,9260.18
1908.2.12,961.73
1973.7.15,5998.32
2008.3.27,8192.41
1920.5.10,336.15
1965.5.3,8451.11
1946.7.19,7723.79
1975.3.11,1714.92
1953.9.13,942.89
1983.12.16,3005.8
1901.10.7,4033.8
1950.8.26,452.59
1972.3.22,791.27
1982.5.17,9581.68
1977.11.17,9273.93
1975.9.6,1531.63
1901.11.26,6272.86
1990.8.23,5387.02
1987.12.26,8184.62
1997.8.18,7326.96
1903.4.20,7233.94
2016.4.5,1783.38
1926.12.23,4491.55
1940.10.18,2304.62
1991.5.21,3632.28
1923.7.16,2319.44
1969.7.5,1878.86
1925.9.4,8496.92
1991.10.17,7076.75
1967.5.19,1897.48
1998.7.3,2345.15
2000.5.8,4610.35
1934.2.1,2249.75
1901.3.19,2072.81
1954.5.7,6942.31
1901.12.14,3766.46
1944.1.21,3212.48
1957.3.17,7485.95
1959.7.2,3897.19
2003.2.21,4875.36
1958.6.23,9592.92
1907.8.20,8427.62
1929.8.5,9116.04
2020.12.5,2642.21
1905.10.4,7656.76
2012.7.16,4536.56
1934.6.27,4071.76
1970.11.22,1206.38
1955.7.5,1261.02
1915.4.11,4630.18
1914.9.15,6074
1986.5.20,6413.52
1910.6.21,7690.59
1913.6.11,7667.96
1911.12.5,5922.06
1973.5.14,1720.39
1982.8.17,3377.47
1933.10.1,9847.73
2018.7.24,7940.58
1918.8.21,2732.53
1990.7.14,4502.94
1912.11.11,2834.72
1992.12.1,7398.07
1931.7.3,5374.73
1950.4.23,7482.43
1948.2.15,8123.46
1922.11.5,308.21
1972.6.5,2694.28
1928.5.17,4333.32
1909.4.25,2532.44
1951.2.2,614.04
1909.12.12,5297.14
1949.6.21,7925.42
1907.8.17,9831.65
1967.2.18,9754.89
1993.6.13,416.76
1903.7.27,2114.38
1991.8.26,3502.84
1917.1.12,3616.15
1968.8.8,4615.86
1992.3.17,1757.85
1970.2.23,5632.7
1971.6.21,1861.85
1927.3.13,5120.97
1951.7.13,7614.45
1914.4.7,6938.79
1987.12.14,4650.04
1929.1.17,4789.72
1917.11.16,1125.61
1939.12.17,2928.25
2016.9.14,1731.03
1900.11.9,5711.06
1939.11.15,4080.15
1940.2.13,1189.44
2004.7.22,8928.38
2004.6.3,6438.19
1923.2.7,8161.7
1938.12.22,4816.23
1926.3.27,7002.74
1957.3.19,7854.35
1931.8.1,9378.96
2016.5.21,6965.27
1958.1.3,7898.49
2017.4.23,2671.45
1923.1.26,2378.73
1903.10.1,1545.93
1998.4.3,3373.2
